,newDesk_x,Summary_TARGET_binary,count
0,Arts&Leisure,0,0.3784492061045167
1,Arts&Leisure,1,0.6215507938954833
2,Automobiles,0,1.0
3,BookReview,0,0.453240058910162
4,BookReview,1,0.5467599410898379
5,Business,0,0.41393386186138925
6,Business,1,0.5860661381386107
7,Climate,0,0.3600808197431087
8,Climate,1,0.6399191802568913
9,Culture,0,0.41508520861419335
10,Culture,1,0.5849147913858066
11,Dining,0,0.46287059351006
12,Dining,1,0.53712940648994
13,EdLife,0,0.3471479500891266
14,EdLife,1,0.6528520499108734
15,Editorial,0,0.510172135469038
16,Editorial,1,0.4898278645309621
17,Express,0,0.3708306082406802
18,Express,1,0.6291693917593199
19,Foreign,0,0.4796995644619664
20,Foreign,1,0.5203004355380336
21,Games,0,0.6419243440638273
22,Games,1,0.35807565593617274
23,Insider,0,0.4724830042084817
24,Insider,1,0.5275169957915183
25,Investigative,0,0.34286681333558977
26,Investigative,1,0.6571331866644102
27,Learning,0,0.8893635085298878
28,Learning,1,0.11063649147011223
29,Letters,0,0.40381558028616854
30,Letters,1,0.5961844197138315
31,Magazine,0,0.43053378814418736
32,Magazine,1,0.5694662118558127
33,Metro,0,0.38636287597443875
34,Metro,1,0.6136371240255613
35,Metropolitan,0,0.3330931363718249
36,Metropolitan,1,0.6669068636281751
37,NYTNow,0,0.813953488372093
38,NYTNow,1,0.18604651162790697
39,National,0,0.4272984624974029
40,National,1,0.5727015375025971
41,NewsDesk,0,0.5279458882164472
42,NewsDesk,1,0.4720541117835529
43,Obits,0,0.2855001873360809
44,Obits,1,0.714499812663919
45,OpEd,0,0.4658342245499302
46,OpEd,1,0.5341657754500698
47,Photo,0,0.78125
48,Photo,1,0.21875
49,Podcasts,0,0.7768595041322314
50,Podcasts,1,0.2231404958677686
51,Politics,0,0.380448026994095
52,Politics,1,0.6195519730059049
53,RealEstate,0,0.3371842071854767
54,RealEstate,1,0.6628157928145233
55,Science,0,0.37720883534136546
56,Science,1,0.6227911646586345
57,Smarter Living,0,0.3806179775280899
58,Smarter Living,1,0.6193820224719101
59,Society,0,0.21052631578947367
60,Society,1,0.7894736842105263
61,SpecialSections,0,0.31497927767910006
62,SpecialSections,1,0.6850207223208999
63,Sports,0,0.4729215276924966
64,Sports,1,0.5270784723075034
65,Styles,0,0.3315946348733234
66,Styles,1,0.6684053651266766
67,Summary,0,0.7435897435897436
68,Summary,1,0.2564102564102564
69,SundayBusiness,0,0.405738259575044
70,SundayBusiness,1,0.594261740424956
71,TStyle,0,0.26262626262626265
72,TStyle,1,0.7373737373737373
73,Travel,0,0.40497803806734994
74,Travel,1,0.5950219619326501
75,Unknown,0,0.6618608227604768
76,Unknown,1,0.33813917723952325
77,Upshot,0,0.3487394957983193
78,Upshot,1,0.6512605042016807
79,Video,0,0.3615023474178404
80,Video,1,0.6384976525821596
81,Washington,0,0.41947318908748826
82,Washington,1,0.5805268109125118
83,Weekend,0,0.42841668171150027
84,Weekend,1,0.5715833182884997
85,Well,0,0.3787990156914129
86,Well,1,0.6212009843085872
