,newDesk_x,Summary_TARGET_multiclass,count
0,Arts&Leisure,0,0.3784492061045167
1,Arts&Leisure,1,0.46570063203329737
2,Arts&Leisure,2,0.1459842762447973
3,Arts&Leisure,3,0.009865885617388624
4,Automobiles,0,1.0
5,BookReview,0,0.453240058910162
6,BookReview,1,0.4101620029455081
7,BookReview,2,0.12665684830633284
8,BookReview,3,0.009941089837997054
9,Business,0,0.41393386186138925
10,Business,1,0.4258650876399189
11,Business,2,0.14694194716030926
12,Business,3,0.013259103338382547
13,Climate,0,0.3600808197431087
14,Climate,1,0.5035358637610045
15,Climate,2,0.12801270024534564
16,Climate,3,0.008370616250541203
17,Culture,0,0.41508520861419335
18,Culture,1,0.41429015866431607
19,Culture,2,0.1627432680009679
20,Culture,3,0.007881364720522659
21,Dining,0,0.46287059351006
22,Dining,1,0.3858656055596032
23,Dining,2,0.1501429131872443
24,Dining,3,0.0011208877430925292
25,EdLife,0,0.3471479500891266
26,EdLife,1,0.4206773618538324
27,EdLife,2,0.21479500891265596
28,EdLife,3,0.017379679144385027
29,Editorial,0,0.510172135469038
30,Editorial,1,0.36028872232760634
31,Editorial,2,0.11459210905355387
32,Editorial,3,0.014947033149801885
33,Express,0,0.3708306082406802
34,Express,1,0.44429910616960977
35,Express,2,0.171135818617833
36,Express,3,0.013734466971877043
37,Foreign,0,0.4796995644619664
38,Foreign,1,0.3637093192672988
39,Foreign,2,0.14298737017616306
40,Foreign,3,0.013603746094571746
41,Games,0,0.6419243440638273
42,Games,1,0.27769618544833885
43,Games,2,0.08026038979081491
44,Games,3,0.00011908069701901322
45,Insider,0,0.4724830042084817
46,Insider,1,0.3865328585302687
47,Insider,2,0.13920362576885723
48,Insider,3,0.00178051149239236
49,Investigative,0,0.34286681333558977
50,Investigative,1,0.49585378236588257
51,Investigative,2,0.14858690133694363
52,Investigative,3,0.012692502961584024
53,Learning,0,0.8893635085298878
54,Learning,1,0.10888541031015361
55,Learning,2,0.0017510811599586108
56,Letters,0,0.40381558028616854
57,Letters,1,0.42289348171701113
58,Letters,2,0.15818759936406995
59,Letters,3,0.015103338632750398
60,Magazine,0,0.43053378814418736
61,Magazine,1,0.40732460588181063
62,Magazine,2,0.15405181156080022
63,Magazine,3,0.008089794413201807
64,Metro,0,0.38636287597443875
65,Metro,1,0.4349091639064539
66,Metro,2,0.1656127672387835
67,Metro,3,0.013115192880323865
68,Metropolitan,0,0.3330931363718249
69,Metropolitan,1,0.49000180147721134
70,Metropolitan,2,0.1671770852098721
71,Metropolitan,3,0.009727976941091695
72,NYTNow,0,0.813953488372093
73,NYTNow,1,0.16279069767441862
74,NYTNow,2,0.023255813953488372
75,National,0,0.4272984624974029
76,National,1,0.41081446083523787
77,National,2,0.14718470808227715
78,National,3,0.01470236858508207
79,NewsDesk,0,0.5279458882164472
80,NewsDesk,1,0.3552865788536846
81,NewsDesk,2,0.10751156995372019
82,NewsDesk,3,0.009255962976148096
83,Obits,0,0.2855001873360809
84,Obits,1,0.5706257025103035
85,Obits,2,0.13001124016485574
86,Obits,3,0.013862869988759834
87,OpEd,0,0.4658342245499302
88,OpEd,1,0.4001717419106549
89,OpEd,2,0.11877288310423503
90,OpEd,3,0.015221150435179864
91,Photo,0,0.78125
92,Photo,1,0.19140625
93,Photo,2,0.02734375
94,Podcasts,0,0.7768595041322314
95,Podcasts,1,0.17355371900826447
96,Podcasts,2,0.049586776859504134
97,Politics,0,0.380448026994095
98,Politics,1,0.45852469772237325
99,Politics,2,0.14828006373605773
100,Politics,3,0.01274721154747399
101,RealEstate,0,0.3371842071854767
102,RealEstate,1,0.46667513012568235
103,RealEstate,2,0.1937285768693665
104,RealEstate,3,0.0024120858194744193
105,Science,0,0.37720883534136546
106,Science,1,0.41589692101740294
107,Science,2,0.19752342704149933
108,Science,3,0.009370816599732263
109,Smarter Living,0,0.3806179775280899
110,Smarter Living,1,0.5154494382022472
111,Smarter Living,2,0.10252808988764045
112,Smarter Living,3,0.0014044943820224719
113,Society,0,0.21052631578947367
114,Society,1,0.5789473684210527
115,Society,2,0.19548872180451127
116,Society,3,0.015037593984962405
117,SpecialSections,0,0.31497927767910006
118,SpecialSections,1,0.46299585553582
119,SpecialSections,2,0.1965660153937241
120,SpecialSections,3,0.02545885139135583
121,Sports,0,0.4729215276924966
122,Sports,1,0.3811862949772811
123,Sports,2,0.1396291293135208
124,Sports,3,0.006263048016701462
125,Styles,0,0.3315946348733234
126,Styles,1,0.5062806046412603
127,Styles,2,0.14988290398126464
128,Styles,3,0.012241856504151586
129,Summary,0,0.7435897435897436
130,Summary,1,0.2564102564102564
131,SundayBusiness,0,0.405738259575044
132,SundayBusiness,1,0.41169305724725946
133,SundayBusiness,2,0.17837325754499933
134,SundayBusiness,3,0.004195425632697252
135,TStyle,0,0.26262626262626265
136,TStyle,1,0.6767676767676768
137,TStyle,2,0.06060606060606061
138,Travel,0,0.40497803806734994
139,Travel,1,0.42518301610541726
140,Travel,2,0.1663250366032211
141,Travel,3,0.003513909224011713
142,Unknown,0,0.6618608227604768
143,Unknown,1,0.25336409073433297
144,Unknown,2,0.0847750865051903
145,Upshot,0,0.3487394957983193
146,Upshot,1,0.4562195248469758
147,Upshot,2,0.19325137462392364
148,Upshot,3,0.0017896047307812014
149,Video,0,0.3615023474178404
150,Video,1,0.43427230046948356
151,Video,2,0.19718309859154928
152,Video,3,0.007042253521126761
153,Washington,0,0.41947318908748826
154,Washington,1,0.4434671265809554
155,Washington,2,0.12614717257238423
156,Washington,3,0.010912511759172154
157,Weekend,0,0.42841668171150027
158,Weekend,1,0.41379310344827586
159,Weekend,2,0.15417945477523018
160,Weekend,3,0.003610760064993681
161,Well,0,0.3787990156914129
162,Well,1,0.4317215812853536
163,Well,2,0.18906394810009267
164,Well,3,0.0004154549231408392
