,sectionName_x,sentiment_absolute,count
0,401(k)'s and Similar Plans,-1,0.17204301075268819
1,401(k)'s and Similar Plans,0,0.11290322580645161
2,401(k)'s and Similar Plans,1,0.7150537634408602
3,Africa,-1,0.3257287705956908
4,Africa,0,0.24461343472750316
5,Africa,1,0.4296577946768061
6,Americas,-1,0.27488282326992003
7,Americas,0,0.26027019575406674
8,Americas,1,0.46484698097601324
9,Art,-1,0.18604651162790697
10,Art,0,0.13953488372093023
11,Art,1,0.6744186046511628
12,Art & Design,-1,0.1855805243445693
13,Art & Design,0,0.19868913857677903
14,Art & Design,1,0.6157303370786517
15,Asia Pacific,-1,0.29700322391559203
16,Asia Pacific,0,0.24901084407971863
17,Asia Pacific,1,0.45398593200468934
18,Australia,-1,0.2338568935427574
19,Australia,0,0.23036649214659685
20,Australia,1,0.5357766143106457
21,Auto Racing,-1,0.11864406779661017
22,Auto Racing,0,0.11864406779661017
23,Auto Racing,1,0.7627118644067796
24,Automobiles,-1,0.11764705882352941
25,Automobiles,0,0.3235294117647059
26,Automobiles,1,0.5588235294117647
27,Baseball,-1,0.3639315230224321
28,Baseball,0,0.1974616292798111
29,Baseball,1,0.43860684769775676
30,Book Review,-1,0.21771771771771772
31,Book Review,0,0.1996996996996997
32,Book Review,1,0.5825825825825826
33,Canada,-1,0.25060048038430743
34,Canada,0,0.20536429143314652
35,Canada,1,0.544035228182546
36,College Basketball,-1,0.23055746730901583
37,College Basketball,0,0.2126634549208534
38,College Basketball,1,0.5567790777701308
39,College Football,-1,0.2894248608534323
40,College Football,0,0.23562152133580705
41,College Football,1,0.4749536178107607
42,Cricket,0,1.0
43,Cycling,-1,0.19021739130434784
44,Cycling,0,0.30978260869565216
45,Cycling,1,0.5
46,Dance,-1,0.12056737588652482
47,Dance,0,0.15602836879432624
48,Dance,1,0.723404255319149
49,DealBook,-1,0.2542429843723744
50,DealBook,0,0.21508990085699883
51,DealBook,1,0.5306671147706268
52,Eat,-1,0.21407624633431085
53,Eat,0,0.21407624633431085
54,Eat,1,0.5718475073313783
55,Economy,-1,0.2429078014184397
56,Economy,0,0.212854609929078
57,Economy,1,0.5442375886524823
58,Editorials,-1,0.24945135332845647
59,Editorials,0,0.20921726408193123
60,Editorials,1,0.5413313825896123
61,Education Life,-1,0.17959001782531195
62,Education Life,0,0.1537433155080214
63,Education Life,1,0.6666666666666666
64,Energy & Environment ,-1,0.28205128205128205
65,Energy & Environment ,0,0.20076377523186034
66,Energy & Environment ,1,0.5171849427168577
67,Entertainment,1,1.0
68,Entrepreneurship,-1,0.25
69,Entrepreneurship,0,0.14285714285714285
70,Entrepreneurship,1,0.6071428571428571
71,Europe,-1,0.2791881375538963
72,Europe,0,0.26911347144810177
73,Europe,1,0.4516983909980019
74,Family,-1,0.20452766572340297
75,Family,0,0.17303871395026793
76,Family,1,0.6224336203263291
77,Fashion & Beauty,0,0.3333333333333333
78,Fashion & Beauty,1,0.6666666666666666
79,Food,1,1.0
80,Golf,-1,0.2078239608801956
81,Golf,0,0.21026894865525672
82,Golf,1,0.5819070904645477
83,Hockey,-1,0.2465753424657534
84,Hockey,0,0.20821917808219179
85,Hockey,1,0.5452054794520548
86,Insider Events,-1,0.25
87,Insider Events,0,0.2857142857142857
88,Insider Events,1,0.4642857142857143
89,Learning,-1,0.1721311475409836
90,Learning,0,0.12295081967213115
91,Learning,1,0.7049180327868853
92,Lesson Plans,-1,0.16822429906542055
93,Lesson Plans,0,0.2102803738317757
94,Lesson Plans,1,0.6214953271028038
95,Live,-1,0.24075034578146612
96,Live,0,0.17366874135546334
97,Live,1,0.5855809128630706
98,Media,-1,0.254983922829582
99,Media,0,0.26870310825294746
100,Media,1,0.47631296891747055
101,Middle East,-1,0.3164581083656228
102,Middle East,0,0.27135869910436383
103,Middle East,1,0.41218319253001334
104,Mind,-1,0.27866473149492016
105,Mind,0,0.17561683599419448
106,Mind,1,0.5457184325108854
107,Move,-1,0.19466040780401936
108,Move,0,0.21417045621241015
109,Move,1,0.5911691359835705
110,Music,-1,0.16265912305516267
111,Music,0,0.20968882602545968
112,Music,1,0.6276520509193777
113,Neighborhoods,-1,0.07142857142857142
114,Neighborhoods,0,0.10714285714285714
115,Neighborhoods,1,0.8214285714285714
116,Olympics,-1,0.21969920377469773
117,Olympics,0,0.22559716897670304
118,Olympics,1,0.5547036272485992
119,Opinion | Politics,-1,0.31127982646420826
120,Opinion | Politics,0,0.16919739696312364
121,Opinion | Politics,1,0.5195227765726681
122,Opinion | The World,1,1.0
123,Paying for College,-1,0.25
124,Paying for College,0,0.18518518518518517
125,Paying for College,1,0.5648148148148148
126,Personal Tech,-1,0.19823788546255505
127,Personal Tech,0,0.24669603524229075
128,Personal Tech,1,0.5550660792951542
129,Politics,-1,0.2894851823513363
130,Politics,0,0.27561831657069946
131,Politics,1,0.4348965010779642
132,Pro Basketball,-1,0.22149302707136997
133,Pro Basketball,0,0.1911402789171452
134,Pro Basketball,1,0.5873666940114848
135,Pro Football,-1,0.28223201174743023
136,Pro Football,0,0.18590308370044054
137,Pro Football,1,0.5318649045521292
138,Real Estate,0,0.5
139,Real Estate,1,0.5
140,Retirement,-1,0.14825046040515655
141,Retirement,0,0.16114180478821363
142,Retirement,1,0.6906077348066298
143,Room For Debate,-1,0.2949512843224092
144,Room For Debate,0,0.16563330380868024
145,Room For Debate,1,0.5394154118689105
146,Rugby,-1,0.25
147,Rugby,0,0.2357142857142857
148,Rugby,1,0.5142857142857142
149,Soccer,-1,0.18163869693978282
150,Soccer,0,0.19743336623889438
151,Soccer,1,0.6209279368213229
152,Student Loans,-1,0.21671018276762402
153,Student Loans,0,0.20365535248041775
154,Student Loans,1,0.5796344647519582
155,Sunday Review,-1,0.2719008825526137
156,Sunday Review,0,0.18346232179226069
157,Sunday Review,1,0.5446367956551256
158,Television,-1,0.24053164720304535
159,Television,0,0.2318214078327634
160,Television,1,0.5276469449641913
161,Tennis,-1,0.18433179723502305
162,Tennis,0,0.20890937019969277
163,Tennis,1,0.6067588325652842
164,The Daily,-1,0.25308641975308643
165,The Daily,0,0.2222222222222222
166,The Daily,1,0.5246913580246914
167,Unknown,-1,0.2682150435301189
168,Unknown,0,0.20554908908259797
169,Unknown,1,0.5262358673872831
170,Weddings,-1,0.10526315789473684
171,Weddings,0,0.18796992481203006
172,Weddings,1,0.706766917293233
173,"Wine, Beer & Cocktails",-1,0.1420256111757858
174,"Wine, Beer & Cocktails",0,0.18859138533178113
175,"Wine, Beer & Cocktails",1,0.6693830034924331
